Nhiệt độ thấp nhất,Nhiệt độ trung bình,Nhiệt độ cao nhất,Lượng mưa
15.86,19.77,23.72,33.59
16.79,20.69,24.63,28.86
16.74,22.18,27.68,42.81
21.32,25.38,29.48,67.88
23.07,26.96,30.9,176.59
23.53,27.18,30.88,227.04
23.71,27.17,30.67,256.11
23.45,26.97,30.55,264.96
22.71,26.2,29.74,274.86
21.1,24.69,28.33,228.44
19.02,22.62,26.27,163.53
16.63,20.66,24.73,75.8
15.72,19.84,24,30.25
16.84,20.95,25.11,27.76
16.81,22.37,27.98,41.17
21.28,25.46,29.68,66.6
22.91,26.98,31.09,172.03
23.54,27.24,31,223.08
23.61,27.12,30.67,254.56
23.35,26.93,30.56,271.06
22.61,26.19,29.81,273.81
20.92,24.64,28.4,228.99
19,22.76,26.56,162.83
16.59,20.69,24.83,68.77
15.76,19.69,23.67,36.79
16.89,20.81,24.78,26.1
16.74,22.21,27.73,38.47
21.29,25.38,29.52,73.17
22.93,26.9,30.93,169.09
23.46,27.14,30.87,228.1
23.72,27.18,30.7,249.28
23.37,26.92,30.52,262.9
22.59,26.14,29.73,269.11
21.1,24.74,28.43,237.61
19,22.61,26.28,171.67
16.57,20.59,24.65,76.65
16.68,20.3,23.97,39.93
17.6,21.42,25.3,25.58
17.41,22.69,28.03,41.8
21.85,25.82,29.85,67.73
23.25,27.19,31.18,165.44
23.89,27.58,31.32,225.2
23.99,27.4,30.86,263.43
23.65,27.21,30.83,258.74
22.94,26.49,30.08,263.36
21.5,25.12,28.8,232.43
19.77,23.43,27.13,175.14
17.49,21.21,24.97,85
15.86,19.77,23.72,33.59
16.79,20.69,24.63,28.86
16.74,22.18,27.68,42.81
21.32,25.38,29.48,67.88
23.07,26.96,30.9,176.59
23.53,27.18,30.88,227.04
23.71,27.17,30.67,256.11
23.45,26.97,30.55,264.96
22.71,26.2,29.74,274.86
21.1,24.69,28.33,228.44
19.02,22.62,26.27,163.53
16.63,20.66,24.73,75.8
15.72,19.84,24,30.25
16.84,20.95,25.11,27.76
16.81,22.37,27.98,41.17
21.28,25.46,29.68,66.6
22.91,26.98,31.09,172.03
23.54,27.24,31,223.08
23.61,27.12,30.67,254.56
23.35,26.93,30.56,271.06
22.61,26.19,29.81,273.81
20.92,24.64,28.4,228.99
19,22.76,26.56,162.83
16.59,20.69,24.83,68.77
15.76,19.69,23.67,36.79
16.89,20.81,24.78,26.1
16.74,22.21,27.73,38.47
21.29,25.38,29.52,73.17
22.93,26.9,30.93,169.09
23.46,27.14,30.87,228.1
23.72,27.18,30.7,249.28
23.37,26.92,30.52,262.9
22.59,26.14,29.73,269.11
21.1,24.74,28.43,237.61
19,22.61,26.28,171.67
16.57,20.59,24.65,76.65
16.68,20.3,23.97,39.93
17.6,21.42,25.3,25.58
17.41,22.69,28.03,41.8
21.85,25.82,29.85,67.73
23.25,27.19,31.18,165.44
23.89,27.58,31.32,225.2
24.47,40.92,34.29,153.0
26.06,42.84,35.25,153.0
24.49,39.78,32.71,169.9
24.18,39.44,33.64,153.0
24.45,35.13,33.16,184.81
24.68,35.53,33.41,153.0
23.35,26.93,30.56,271.06
22.61,26.19,29.81,273.81